Name,Country,MWp,Acres, SqMi ,SqKm,Year,lat,lon
Bhadla Solar Park, India,2245 ,14000 , 21.0 ,54.4,2020,27.517534,71.930479
Huanghe Hydropower Hainan Solar Park, China,2200 ,1408 , 2.2 ,5.7,2020,36.406339,94.928356
Pavagada Solar Park, India,2050 ,13000 , 20.3 ,52.6,2019,14.138176,77.31466
Benban Solar Park, Egypt,1650 ,9216 , 14.4 ,37.3,2019,24.437541,32.743419
Tengger Desert Solar Park, China,1547 ,10625 , 16.6 ,43,2016,37.562005,105.041609
Noor Abu Dhabi, United Arab Emirates,1177 ,1920 , 3.0 ,7.8,2019,24.535172,55.432026
Mohammed bin Rashid Al Maktoum Solar Park, United Arab Emirates,1013 ,19200 , 30.0 ,77.7,2020,24.76541,55.36759
Kurnool Ultra Mega Solar Park, India,1000 ,5952 , 9.3 ,24.1,2017,15.681043,78.282561
Datong Solar Power Top Runner Base, China,1000 ,6176 , 9.6 ,24.9,2016,40.075241,113.320196
NP Kunta, India,978 ,7680 , 12.0 ,31.1,2021,14.04942,78.428858
Longyangxia Dam Solar Park, China,850 ,6656 , 10.4 ,26.9,2015,36.118896,100.956078
Villanueva Solar Park, Mexico,828 ,6784 , 10.6 ,27.5,2018,25.592143,-103.042954
Copper Mountain Solar Facility, United States,802 ,4000 , 6.2 ,16.1,2016,39.499958,-106.152182
Mount Signal Solar, United States,794 ,3929 , 6.1 ,15.8,2020,32.677841,-115.671657
Charanka Solar Park, India,790 ,4900 , 7.6 ,19.7,2012,23.902072,71.194772
Rewa Ultra Mega Solar, India,750 ,1590 , 2.4 ,6.2,2018,23.225816,77.393163
Solar Star (I and II), United States,747 ,3200 , 5.0 ,12.9,2015,34.939137,-118.337189
Kamuthi Solar Power Project, India,648 ,2500 , 3.9 ,10.1,2017,9.345771,78.393862
Dau Tieng Solar Power Project, Vietnam,600 ,1245 , 1.9 ,4.9,2019,11.456168,106.228033
Desert Sunlight Solar Farm, United States,550 ,3900 , 6.2 ,16.1,2015,33.821244,-115.393583